,monthly.returns
2010/7/30,0.11109269
2010/8/31,0.000491058
2010/9/30,0.006389221
2010/10/29,0.12169376
2010/11/30,-0.053260437
2010/12/31,-0.004291925
2011/1/31,-0.006190291
2011/2/28,0.040978654
2011/3/31,0.007937241
2011/4/29,-0.005669551
2011/5/31,-0.057715098
2011/6/30,0.00678119
2011/7/29,-0.021848394
2011/8/31,-0.049741819
2011/9/30,-0.081064871
2011/10/31,0.046214873
2011/11/30,-0.054628152
2011/12/30,-0.057425329
2012/1/31,0.042371735
2012/2/29,0.059267362
2012/3/30,-0.06823136
2012/4/27,0.059010312
2012/5/31,-0.010049606
2012/6/29,-0.061884267
2012/7/31,-0.054728716
2012/8/31,-0.026674322
2012/9/28,0.018874997
2012/10/31,-0.00828747
2012/11/30,-0.042903863
2012/12/31,0.145956524
2013/1/31,0.051250609
2013/2/28,-0.008312617
2013/3/29,-0.054519912
2013/4/26,-0.026248963
2013/5/31,0.056330493
2013/6/28,-0.139698174
2013/7/31,0.007373105
2013/8/30,0.052454201
2013/9/30,0.036353226
2013/10/31,-0.015198214
2013/11/29,0.036836653
2013/12/31,-0.047073044
2014/1/30,-0.039175747
2014/2/28,0.011420583
2014/3/31,-0.011183169
2014/4/30,-0.003417094
2014/5/30,0.006343402
2014/6/30,0.004469799
2014/7/31,0.074809889
2014/8/29,0.007103111
2014/9/30,0.066151078
2014/10/31,0.023820201
2014/11/28,0.108562663
2014/12/31,0.20565588
2015/1/30,-0.007516659
2015/2/27,0.031130418
2015/3/31,0.132192113
2015/4/30,0.185105274
2015/5/29,0.038294141
2015/6/30,-0.072536976
2015/7/31,-0.143433301
2015/8/31,-0.124938377
2015/9/30,-0.047787194
2015/10/30,0.108026101
2015/11/30,0.01857882
2015/12/31,0.027217948
2016/1/29,-0.226487876
2016/2/29,-0.018125764
2016/3/31,0.117536645
2016/4/29,-0.021835193
2016/5/31,-0.007387888
2016/6/30,0.004453788
2016/7/29,0.016976056
2016/8/31,0.03562933
2016/9/30,-0.026183219
2016/10/31,0.031879712
2016/11/30,0.048231699
2016/12/30,-0.045044752
2017/1/26,0.017891607
2017/2/28,0.026135662
2017/3/31,-0.005928617
2017/4/28,-0.021056839
2017/5/31,-0.011880838
2017/6/30,0.024140111
2017/7/31,0.025247586
2017/8/31,0.026819808
2017/9/29,-0.003530977
2017/10/31,0.013257593
2017/11/30,-0.022442198
2017/12/29,-0.003019385
2018/1/31,0.052510387
2018/2/28,-0.063612661
2018/3/30,-0.027769149
2018/4/27,-0.027348645
2018/5/31,0.004296298
2018/6/29,-0.080135108
2018/7/31,0.010178664
2018/8/31,-0.052548614
2018/9/28,0.035262856
2018/10/31,-0.077468989
2018/11/30,-0.005607448
2018/12/28,-0.036431663
2019/1/31,0.036359185
2019/2/28,0.137888238
2019/3/29,0.050937196
2019/4/26,-0.001410376
2019/5/31,-0.060816144
2019/6/28,0.027661364
2019/7/31,-0.015565566
2019/8/30,-0.015778299
2019/9/30,0.006565619
2019/10/31,0.008216371
2019/11/29,-0.019487507
2019/12/31,0.062028303
2020/1/23,-0.024128838
2020/2/28,-0.032327638
2020/3/31,-0.045136923
2020/4/30,0.039917935
2020/5/29,-0.002703054
2020/6/30,0.046390853
2020/7/30,0.101233147
